Episode,Name,Director,Writer,Air Date,Production Code,Viewers (millions)
2,"""The Host""",Daniel Sackheim,Chris Carter,1994-09-23,2X02,15.9
3,"""Blood""",David Nutter,Story by : Darin Morgan Teleplay by : Glen Morgan & James Wong,1994-09-30,2X03,14.8
4,"""Sleepless""",Rob Bowman,Howard Gordon,1994-10-07,2X04,13.4
5,"""Duane Barry""",Chris Carter,Chris Carter,1994-10-14,2X05,13.9
6,"""Ascension""",Michael Lange,Paul Brown,1994-10-21,2X06,15.5
7,"""3""",David Nutter,Chris Ruppenthal and Glen Morgan & James Wong,1994-11-04,2X07,15
8,"""One Breath""",R. W. Goodwin,Glen Morgan & James Wong,1994-11-11,2X08,15.3
9,"""Firewalker""",David Nutter,Howard Gordon,1994-11-18,2X09,15.2
10,"""Red Museum""",Win Phelps,Chris Carter,1994-12-09,2X10,16.1
11,"""Excelsis Dei""",Stephen Surjik,Paul Brown,1994-12-16,2X11,14.2
12,"""Aubrey""",Rob Bowman,Sara B. Charno,1995-01-06,2X12,16.2
13,"""Irresistible""",David Nutter,Chris Carter,1995-01-13,2X13,14.7
14,"""Die Hand Die Verletzt""",Kim Manners,Glen Morgan & James Wong,1995-01-27,2X14,17.7
15,"""Fresh Bones""",Rob Bowman,Howard Gordon,1995-02-03,2X15,17.8
16,"""Colony""",Nick Marck,Story by : David Duchovny & Chris Carter Teleplay by : Chris Carter,1995-02-10,2X16,15.9
17,"""End Game""",Rob Bowman,Frank Spotnitz,1995-02-17,2X17,17.5
18,"""Fearful Symmetry""","James Whitmore, Jr.",Steve De Jarnatt,1995-02-24,2X18,16.5
19,"""Død Kalm""",Rob Bowman,Story by : Howard Gordon Teleplay by : Howard Gordon & Alex Gansa,1995-03-10,2X19,17.1
20,"""Humbug""",Kim Manners,Darin Morgan,1995-03-31,2X20,15.7
21,"""The Calusari""",Michael Vejar,Sara B. Charno,1995-04-14,2X21,12.9
22,"""F. Emasculata""",Rob Bowman,Chris Carter & Howard Gordon,1995-04-28,2X22,14
23,"""Soft Light""",James Contner,Vince Gilligan,1995-05-05,2X23,12.9
24,"""Our Town""",Rob Bowman,Frank Spotnitz,1995-05-12,2X24,14.5
25,"""Anasazi""",R. W. Goodwin,Story by : David Duchovny & Chris Carter Teleplay by : Chris Carter,1995-05-19,2X25,16.6
1,"""The Blessing Way""",R. W. Goodwin,Chris Carter,1995-09-22,3X01,19.94
2,"""Paper Clip""",Rob Bowman,Chris Carter,1995-09-29,3X02,17.2
3,"""D.P.O.""",Kim Manners,Howard Gordon,1995-10-06,3X03,15.57
4,"""Clyde Bruckman's Final Repose""",David Nutter,Darin Morgan,1995-10-13,3X04,15.38
5,"""The List""",Chris Carter,Chris Carter,1995-10-20,3X05,16.72
6,"""2Shy""",David Nutter,Jeffrey Vlaming,1995-11-03,3X06,14.83
7,"""The Walk""",Rob Bowman,John Shiban,1995-11-10,3X07,15.91
8,"""Oubliette""",Kim Manners,Charles Grant Craig,1995-11-17,3X08,15.9
